node,community,domain
S14. Leaders should prioritize ethical decision-making even when it reduces short-term gains.,0,Ethics/Society
S04. Technology companies should be accountable for unethical use of their platforms.,0,Ethics/Society
S07. Equal opportunities should be prioritized regardless of a person's background.,0,Ethics/Society
V14. International cooperation is necessary to effectively address environmental challenges.,0,Environment
S09. Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,0,Ethics/Society
V13. Companies should be held accountable for the environmental impacts of their activities.,0,Environment
"V09. Products should be designed to encourage reuse, repair, and recycling.",0,Environment
E11. University curricula should be updated more frequently to match emerging technologies.,1,Education
V05. Single-use plastics should be significantly restricted.,1,Environment
"S06. Combating online misinformation requires shared responsibility among users, platforms, and governments.",1,Ethics/Society
S10. Scientific evidence should play an important role in public policy decisions.,1,Ethics/Society
V15. Current generations have a responsibility to protect natural resources for future generations.,1,Environment
T08. AI-assisted diagnosis should become routine in healthcare.,1,Technology
S12. Young people should actively participate in addressing societal challenges.,1,Ethics/Society
T09. Autonomous vehicles will ultimately make transportation safer.,1,Technology
T03. Students should disclose the use of AI in assignments and reports.,1,Technology
V11. Technological innovation is essential for addressing environmental challenges.,1,Environment
E04. High-quality online learning can effectively complement classroom teaching.,1,Education
V08. Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,1,Environment
V07. Protecting biodiversity is essential for long-term human well-being.,1,Environment
T11. Technology companies should explain how recommendation algorithms work.,1,Technology
E15. Continuous learning and skill development are essential throughout one's career.,2,Education
"E07. Publishing research before graduation should be encouraged, but not mandatory.",2,Education
E12. Artificial intelligence should be integrated into teaching and personalized learning.,2,Education
E10. Universities should prioritize innovation and problem-solving over rote learning.,2,Education
T06. Most repetitive jobs will eventually be replaced by intelligent automation.,2,Technology
E14. Strong collaborations between universities and industry improve student education.,2,Education
T02. Generative AI tools should be allowed as learning aids in higher education.,2,Technology
T04. Every engineering student should receive formal education in AI.,2,Technology
"V06. Water conservation should be a priority in households, institutions, and industries.",3,Environment
V01. Climate change requires immediate global action.,3,Environment
T15. Society will increasingly depend on AI-assisted decision making.,3,Technology
T07. Robots should replace humans in hazardous occupations whenever possible.,3,Technology
T05. Artificial Intelligence will significantly accelerate scientific discovery.,3,Technology
S11. People should be free to express differing opinions as long as they do not promote harm or discrimination.,3,Ethics/Society
T01. Artificial Intelligence will improve society more than it will create problems.,3,Technology
E02. Traditional written examinations accurately measure a student's knowledge.,3,Education
E03. Class attendance should be compulsory for all courses.,3,Education
E13. Universities should invest more resources in research than in expanding infrastructure.,4,Education
E09. Collaborative learning is generally more effective than individual learning.,4,Education
E06. Every undergraduate student should participate in at least one research project.,4,Education
E05. Students should be encouraged to take courses outside their primary discipline.,4,Education
S08. Diverse teams generally make better decisions than homogeneous teams.,4,Ethics/Society
E01. Project-based learning develops deeper understanding than examination-oriented learning.,4,Education
E08. Maintaining academic honesty is more important than obtaining high grades.,5,Education
V10. Consumers should consider environmental impact when purchasing products.,5,Environment
S01. Every individual has a responsibility to contribute positively to society.,5,Ethics/Society
T14. Social media algorithms contribute to opinion polarization.,5,Technology
V04. Public transportation and non-motorized transport should be promoted even if they require additional public investment.,5,Environment
V12. Environmental sustainability should be integrated into higher education curricula.,5,Environment
S15. Building public trust is essential for responsible adoption of emerging technologies.,5,Ethics/Society
S05. Individuals should have greater control over how their personal data are collected and used.,5,Ethics/Society
T12. Governments should introduce stricter regulations for Artificial Intelligence.,5,Technology
S13. Critical evaluation of online information should be taught as a core educational skill.,5,Ethics/Society
V02. Governments should prioritize investment in renewable energy over fossil fuels.,5,Environment
S02. Universities should encourage students to participate in community service activities.,5,Ethics/Society
V03. Individuals should actively reduce their personal energy consumption.,5,Environment
T10. Protection of personal data is more important than technological convenience.,5,Technology
S03. New technologies should be evaluated for their societal impact before widespread deployment.,5,Ethics/Society
T13. Cybersecurity deserves greater investment than the development of new digital technologies.,5,Technology
