statement,domain,std,mean,eta_sq
T01. Artificial Intelligence will improve society more than it will create problems.,Technology,0.9833783437888832,0.6373626373626373,0.16972828409778554
T02. Generative AI tools should be allowed as learning aids in higher education.,Technology,0.9888264649460884,1.0,0.10144664929014913
T03. Students should disclose the use of AI in assignments and reports.,Technology,0.8460386572737881,1.0112359550561798,0.13552834490334492
T04. Every engineering student should receive formal education in AI.,Technology,0.8368789042426032,1.2087912087912087,0.004311140187542978
T05. Artificial Intelligence will significantly accelerate scientific discovery.,Technology,0.9056868223997853,1.1868131868131868,0.22003883720256204
T06. Most repetitive jobs will eventually be replaced by intelligent automation.,Technology,0.8884003541507564,1.2087912087912087,0.02955280334242683
T07. Robots should replace humans in hazardous occupations whenever possible.,Technology,1.0383371697787178,1.2087912087912087,0.08675883256528419
T08. AI-assisted diagnosis should become routine in healthcare.,Technology,1.0936772090991342,0.07777777777777778,0.12494366308198818
T09. Autonomous vehicles will ultimately make transportation safer.,Technology,0.9601940086941206,0.2777777777777778,0.06584886659821498
T10. Protection of personal data is more important than technological convenience.,Technology,0.880947430933524,1.1538461538461537,0.15485507913610186
T11. Technology companies should explain how recommendation algorithms work.,Technology,0.8777408553742124,1.1573033707865168,0.10108645844098428
T12. Governments should introduce stricter regulations for Artificial Intelligence.,Technology,1.0053539572090544,1.0222222222222221,0.47238491155830903
T13. Cybersecurity deserves greater investment than the development of new digital technologies.,Technology,0.9042516756699939,0.9775280898876404,0.4149492451282734
T14. Social media algorithms contribute to opinion polarization.,Technology,0.7680414314667134,1.5,0.051547907982905115
T15. Society will increasingly depend on AI-assisted decision making.,Technology,0.782534057125821,1.1666666666666667,0.08121937942297225
E01. Project-based learning develops deeper understanding than examination-oriented learning.,Education,0.9085415462408181,1.3218390804597702,0.11892697466467957
E02. Traditional written examinations accurately measure a student's knowledge.,Education,1.1193183475751618,-0.16091954022988506,0.09658368449259679
E03. Class attendance should be compulsory for all courses.,Education,1.124322243792051,-0.9425287356321839,0.044886363636363634
E04. High-quality online learning can effectively complement classroom teaching.,Education,1.1683933455349718,0.4367816091954023,0.16759869223637333
E05. Students should be encouraged to take courses outside their primary discipline.,Education,0.9079480975800102,1.0941176470588236,0.021764485228557395
E06. Every undergraduate student should participate in at least one research project.,Education,0.9554366002656707,0.872093023255814,0.10086221023922215
