,T01. Artificial Intelligence will improve society more than it will create problems.,T02. Generative AI tools should be allowed as learning aids in higher education.,T03. Students should disclose the use of AI in assignments and reports.,T04. Every engineering student should receive formal education in AI.,T05. Artificial Intelligence will significantly accelerate scientific discovery.,T06. Most repetitive jobs will eventually be replaced by intelligent automation.,T07. Robots should replace humans in hazardous occupations whenever possible.,T08. AI-assisted diagnosis should become routine in healthcare.,T09. Autonomous vehicles will ultimately make transportation safer.,T10. Protection of personal data is more important than technological convenience.,T11. Technology companies should explain how recommendation algorithms work.,T12. Governments should introduce stricter regulations for Artificial Intelligence.,T13. Cybersecurity deserves greater investment than the development of new digital technologies.,T14. Social media algorithms contribute to opinion polarization.,T15. Society will increasingly depend on AI-assisted decision making.,E01. Project-based learning develops deeper understanding than examination-oriented learning.,E02. Traditional written examinations accurately measure a student's knowledge.,E03. Class attendance should be compulsory for all courses.,E04. High-quality online learning can effectively complement classroom teaching.,E05. Students should be encouraged to take courses outside their primary discipline.,E06. Every undergraduate student should participate in at least one research project.,"E07. Publishing research before graduation should be encouraged, but not mandatory.",E08. Maintaining academic honesty is more important than obtaining high grades.,E09. Collaborative learning is generally more effective than individual learning.,E10. Universities should prioritize innovation and problem-solving over rote learning.,E11. University curricula should be updated more frequently to match emerging technologies.,E12. Artificial intelligence should be integrated into teaching and personalized learning.,E13. Universities should invest more resources in research than in expanding infrastructure.,E14. Strong collaborations between universities and industry improve student education.,E15. Continuous learning and skill development are essential throughout one's career.,S01. Every individual has a responsibility to contribute positively to society.,S02. Universities should encourage students to participate in community service activities.,S03. New technologies should be evaluated for their societal impact before widespread deployment.,S04. Technology companies should be accountable for unethical use of their platforms.,S05. Individuals should have greater control over how their personal data are collected and used.,"S06. Combating online misinformation requires shared responsibility among users, platforms, and governments.",S07. Equal opportunities should be prioritized regardless of a person's background.,S08. Diverse teams generally make better decisions than homogeneous teams.,S09. Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,S10. Scientific evidence should play an important role in public policy decisions.,S11. People should be free to express differing opinions as long as they do not promote harm or discrimination.,S12. Young people should actively participate in addressing societal challenges.,S13. Critical evaluation of online information should be taught as a core educational skill.,S14. Leaders should prioritize ethical decision-making even when it reduces short-term gains.,S15. Building public trust is essential for responsible adoption of emerging technologies.,V01. Climate change requires immediate global action.,V02. Governments should prioritize investment in renewable energy over fossil fuels.,V03. Individuals should actively reduce their personal energy consumption.,V04. Public transportation and non-motorized transport should be promoted even if they require additional public investment.,V05. Single-use plastics should be significantly restricted.,"V06. Water conservation should be a priority in households, institutions, and industries.",V07. Protecting biodiversity is essential for long-term human well-being.,V08. Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,"V09. Products should be designed to encourage reuse, repair, and recycling.",V10. Consumers should consider environmental impact when purchasing products.,V11. Technological innovation is essential for addressing environmental challenges.,V12. Environmental sustainability should be integrated into higher education curricula.,V13. Companies should be held accountable for the environmental impacts of their activities.,V14. International cooperation is necessary to effectively address environmental challenges.,V15. Current generations have a responsibility to protect natural resources for future generations.
T01. Artificial Intelligence will improve society more than it will create problems.,1.0,0.331371205106782,-0.05163643526457248,-0.02848617031698027,0.23909136422175264,0.02403893273480976,0.23820254184629616,0.20294962525118138,0.12039673270129994,0.013812476133984687,0.0285671595127259,-0.285774890924375,-0.14860236805303975,-0.08142788405323073,-0.06538895162459016,0.04675340446444024,0.14348470770317606,0.11370119076078883,0.09452404656430934,-0.05230728138673645,0.10852443924322305,-0.04915879601789955,0.2002660157037147,0.0010547263486968767,-0.14411705078364473,-0.028110568859997388,0.22423270255036754,0.091285869990628,0.041259316958220875,-0.12771050007169668,0.008647112746598962,-0.0034506236447548896,0.023280925736551706,-0.20135708909892303,-0.1412440156749825,-0.08817617974123691,0.026454160752822902,0.0036772474800726455,-0.040191241224868605,-0.028861378614345668,0.1396658233893179,0.10185775928769884,-0.10187595564100825,-0.0847069219686368,0.0552919349893323,-0.05516760988004097,-0.03617131975473455,-0.027435555296352606,-0.005514495117431154,-0.1291167457637814,-0.04269255952707489,-0.0642660283301441,0.011386761430647329,-0.12051021604771905,-0.025221734818149998,0.010430160389467251,-0.15824432607823272,-0.10258386230294544,-0.05070656929257256,-0.08138789960416355
T02. Generative AI tools should be allowed as learning aids in higher education.,0.331371205106782,1.0,-0.026863161076477782,0.2953911431908423,0.037220363915466084,0.27826037560828415,0.021643575326850788,0.14467467131887007,-0.14121665328456118,0.15306245044583522,0.05178583767206166,0.00025121270468904877,0.024995419082872047,0.11769797726729993,0.014439774556447654,0.13258012278987158,0.013735441872884903,-0.0839483792418032,0.1505792855106024,-0.2228263861073937,0.07546074209957505,0.09943624712371199,0.05741876614706291,0.07208862564335769,0.14940769534934167,0.013934473942512396,0.5312786652887106,0.020762698849802468,0.29977559439630114,0.059457573838531,0.11797970701063766,0.0035476666078377134,0.08663000120109983,0.07837182579957108,-0.005186295182246221,0.07474179951070575,0.17972112505925236,0.03669491267546027,0.11502701113128665,-0.12154780683637885,-0.13647780198912046,0.07111021491898718,0.12023844435423008,0.1682387565043122,0.2363410677390361,-0.002113038437012441,0.27901642591195897,0.12844862726560322,0.030135093789623934,-0.10501235423814922,0.01978828778617366,-0.025680842176602818,0.11433817331843873,0.05333695897534198,0.14908990815572007,0.2186814262081515,0.11364129722801863,0.06267571910335476,0.06128491870565418,-0.10385765242897199
T03. Students should disclose the use of AI in assignments and reports.,-0.05163643526457248,-0.026863161076477782,1.0,0.012728736918506282,-0.07911316484217565,0.16219606336708847,0.09187815457097727,-0.06213468666614999,0.20347459344382599,0.15332772699262667,0.1823372823329762,0.3003793315697046,0.12413492809374224,0.20056120648804968,0.1519094494308377,-0.09931770767280837,0.08493980742720361,-0.040872891796709554,-0.32256917369175675,0.12544290115389745,-0.07192451351536014,0.21353110663029692,0.09483173024118635,-0.0060244243316324424,0.0911494598669158,0.43524043109360905,0.10103861303785336,-0.08889316470279297,0.235773269522422,0.1676169549697758,0.01822172189097768,0.2605029523835239,-0.04631659787139759,0.15224792502128387,0.14826612538689682,0.03177600315050481,0.07638635425017791,0.15081286410376438,0.14328360958815184,0.11222008724975349,0.17976069073805562,0.27197331645597334,0.02436969172170581,0.07132273384457224,0.14460761347317708,-0.047585618258444505,0.3056230368689039,-0.04582581852688881,0.1876071833846225,0.11438756591109046,0.06285699726663914,0.365368053207824,0.2075554783134104,0.3676160852157479,0.10109153877157365,0.0083138895612793,0.17671613635867284,0.06920653883104695,0.1798982945591983,0.20997519620278354
T04. Every engineering student should receive formal education in AI.,-0.02848617031698027,0.2953911431908423,0.012728736918506282,1.0,0.05058305752305016,0.22466263700963313,-0.025151744221491554,0.15372967895839237,-0.09782542651163727,0.24229687367457617,-0.14951237369543516,0.16817609158403102,0.006755880097548156,0.31448545101657555,0.2532208970587736,0.033191592099530196,0.023152717316325424,-0.10980026565170221,-0.06855714902490767,-0.01075168704997185,0.1050850726784005,0.2302847081603549,-0.003343606142118629,0.15993243555879086,0.40204466122910254,0.017858803909456402,0.3342244157042331,0.01764224763102663,0.3627877751158231,0.1674583012620999,0.11101522863678519,0.08931188371061861,0.16106859103688254,0.11418339116052129,0.014305280740324023,0.15086049548134234,0.126242662787628,-0.15914922192487907,0.1770987061989885,0.11146951145507812,-0.043586907431964514,0.13466284967634262,0.3070756529458279,0.26761620791731644,0.3426753442731122,0.08834605900861256,0.15706883391673412,0.25028667829759793,-0.06337875620123812,-0.14071172803852225,-0.1009304264676573,-0.02842993518144536,0.19771257442068618,0.11033706941093388,0.16710402927794207,0.020631498796393907,0.08975278880745813,0.15517879910567017,0.09744370373237672,0.14214141485606774
T05. Artificial Intelligence will significantly accelerate scientific discovery.,0.23909136422175264,0.037220363915466084,-0.07911316484217565,0.05058305752305016,1.0,0.08907737852414122,0.28888810745243515,0.23330508949529563,0.05879815459770432,0.11676497587618791,0.061174973570979896,0.08178255180346201,-0.04966448357091353,0.07229984673787623,0.22339525216811326,0.053468650015355716,0.00647762176445442,-0.06642256308215022,0.05411237782120031,-0.13371044596795,-0.10566124348663686,0.07106510142825698,-0.06193604676870396,-0.15415503732122496,0.13664633729156783,0.06114468186875045,0.13574083595173403,-0.060222235967831585,0.13664633729156778,0.11516484913648366,-0.020595274909759244,-0.04095451800799665,0.0402233052027749,-0.05570004663378844,0.23162218835558257,0.15142735460650367,0.33916859424078993,-0.03513550149387984,0.12930876974662528,0.21240878859544604,0.35786969896829335,0.23002679029322953,0.22291784560247616,0.014583795414032708,0.2342963116752268,0.2291571791071789,0.12172581564355987,-0.006563191011618962,0.03961450453332491,0.02267098031076578,0.2552899961152564,-0.02718010496560458,0.0900098952787619,0.014942859420881022,0.1441615659853327,0.18270144609135913,0.028571936429688662,0.06111155491486444,0.11510857523945184,0.13499883171610763
T06. Most repetitive jobs will eventually be replaced by intelligent automation.,0.02403893273480976,0.27826037560828415,0.16219606336708847,0.22466263700963313,0.08907737852414122,1.0,0.012442189969139211,-0.00549599832168149,0.06187243899934185,0.11466865564156824,0.11827017142657004,0.20745176268984414,0.03379337596792228,0.15561403511646574,0.12915326995195572,0.20406644772894678,-0.1294557750975165,-0.3021866881657299,0.12440350822720633,0.02046227993170405,0.2515353991886415,0.20250707152868402,0.1402569093203676,-0.030915652001561975,0.44021135857064336,0.2025406805378298,0.45830657261980307,-0.109467267741398,0.4964498140708578,0.2635736217076647,0.02495081346614013,0.07292923229895497,0.07872710401235528,0.3583747095324005,0.05768511333919979,0.1922905468180837,0.37860587302508997,-0.1371832472207056,0.16399713469750637,0.15688396910771335,-0.020070494422649573,0.1567187265257533,0.2932727164275603,0.28755865124903546,0.19093231140371342,-0.05521757688808732,0.2868797805664966,0.25311251692667386,0.12328135354886942,0.28164140711276,0.11338571182818757,0.21962020670572838,0.07542332775137109,0.39911618319726677,0.20745192767376627,0.055512879949758384,0.28865657095637504,0.22931105283955452,0.24974861428660633,0.34087974646394
T07. Robots should replace humans in hazardous occupations whenever possible.,0.23820254184629616,0.021643575326850788,0.09187815457097727,-0.025151744221491554,0.28888810745243515,0.012442189969139211,1.0,0.14412196456326093,0.22107562466585717,0.08596339743712936,0.17529520938029974,0.027597547429291335,-0.05563465449550958,0.1546231499941961,-0.013796319136414912,0.10031934447201685,0.07834916637493965,-0.020096190042586313,0.07735269484954749,0.002701229825751847,0.060704459837346084,0.03886487048339217,0.00841569308779613,-0.004754593521904091,-0.00825161072033995,0.11974735657817921,0.013359469423341437,-0.005490282634186059,0.039607731457631794,0.00380174753070711,0.1853288440713463,0.1988929686476641,0.14369168193194243,0.0034656765025427583,-0.02583708353371646,0.16364067960082765,0.27226400289510877,0.20460616508878574,0.26790062928999075,0.23521876807019249,0.2214092145989481,0.2520540796138826,0.21884374916798877,0.20342562257312163,0.21402952702282244,0.4518972860228748,0.24818081535559502,-0.0533410088703493,0.24019601797454296,0.09378063948079912,0.025187531666185876,0.1347593747401036,0.22669760740362496,-0.01279585493480499,0.162383173673929,0.21679282274283032,0.07149304395329147,0.21997958149101732,0.22965075050936698,0.05227593564960396
T08. AI-assisted diagnosis should become routine in healthcare.,0.20294962525118138,0.14467467131887007,-0.06213468666614999,0.15372967895839237,0.23330508949529563,-0.00549599832168149,0.14412196456326093,1.0,0.2789391052888632,0.10478834972462321,0.2508734587978048,0.12304769396994798,0.13133922673554418,0.14854816487007744,0.033298494756780164,-0.012084387046695844,0.2004941276348795,-0.021566479440247338,-0.09608555825184023,0.12351150092444119,0.16711084031825876,0.002634691121350801,-0.23040058791405316,-0.056635299345393506,-0.01846793069650561,-0.11388090177508652,0.15834658008786784,0.18923015748187844,0.05788985968327734,-0.11077549004890312,-0.01674317406133852,-0.050447652489037584,0.05362920677652178,0.033841523186692944,0.12954425105018347,0.11272416266273003,0.11332777484867863,0.04985821082383072,0.10412187077321261,0.11579407759513086,0.029040693581997512,0.13791082333116889,0.0944504343296498,-0.0072786555569848204,0.0404553184446765,0.06661746193593969,0.018535432911134287,0.013218981018066414,0.024693664063888978,0.01088519606324263,-0.029869354265617497,0.03955691250790169,0.10184883947748377,-0.1089631686970533,0.15886352837253537,0.25887361731442804,0.07230536848406591,0.12118884925892733,-0.0153761102448532,-0.060204056686013946
T09. Autonomous vehicles will ultimately make transportation safer.,0.12039673270129994,-0.14121665328456118,0.20347459344382599,-0.09782542651163727,0.05879815459770432,0.06187243899934185,0.22107562466585717,0.2789391052888632,1.0,-0.18073020375026744,0.13469483409268732,-0.16220345721923965,-0.1206013385726491,-0.05922203533718449,-0.04415918239046709,0.003347984799332402,0.02730862482966402,-0.06163981835766225,0.1316459138648906,0.13298039986393842,0.17846201817951338,0.1158522779842083,-0.09074263544304337,-0.07285627702534972,-0.04081993561208127,-0.04232938971995073,0.031047546676299883,0.14053073104790417,0.15420864564564038,0.09019588736413041,0.010845510483994849,0.23960767804362418,0.015871037448312572,0.018843242316361957,-0.1339552541837214,0.013757196597665484,0.006666545956639233,0.24383279695125507,0.10072659303317578,0.2483573186756437,0.12583942868735326,0.20285418644610637,0.014458730562590782,-0.09033357984389456,-0.03832229165997718,0.1172246474696574,0.03372633461848095,0.06463638876571075,0.010725203167239745,0.25503325567842394,-0.09658870152289771,0.24642817741355535,0.060179140504165986,-0.0017241513850030454,-0.09050521081679375,0.23238999787720893,-0.017073844420705964,-0.015189421430767062,0.19846997145875084,0.15851570906178972
T10. Protection of personal data is more important than technological convenience.,0.013812476133984687,0.15306245044583522,0.15332772699262667,0.24229687367457617,0.11676497587618791,0.11466865564156824,0.08596339743712936,0.10478834972462321,-0.18073020375026744,1.0,0.3082618832778176,0.46293895929116596,0.2622160614311312,0.2973007603614309,-0.008183262215410955,-0.016659545307580396,-0.028532299119279396,-0.15131550932108462,-0.05622229769013007,0.06699253303405922,-0.02900096485772264,0.16209641732729071,-0.04813304977269348,0.26421589130995926,0.25612276295341346,0.25098366644617154,0.14168349172877856,0.04589141183571482,0.18046001124900954,0.06791678552112683,0.11520361886112804,0.2567717954604967,0.07229654452198937,0.1934400867569202,0.4638673879654644,0.20670394302330583,0.1528388233932397,0.1085318799811919,0.19213544766053034,0.1686404704389149,0.06900684064213482,0.29107650059084417,0.14157488125119586,0.22294020992924335,0.24477050461998232,-0.06529516848027538,0.2651315290310405,0.07951824301933137,0.12585098614081502,-0.06565942542104078,-0.01611183444235014,0.09934960481912147,0.16807475895716842,0.13885116337996298,0.28401794962523236,-0.08589565702417103,0.14905111483043917,0.2425042663162875,0.023806792181910917,0.10395400952608996
