node1,node2,weight
T01. Artificial Intelligence will improve society more than it will create problems.,T12. Governments should introduce stricter regulations for Artificial Intelligence.,-0.285774890924375
T03. Students should disclose the use of AI in assignments and reports.,E04. High-quality online learning can effectively complement classroom teaching.,-0.32256917369175675
T06. Most repetitive jobs will eventually be replaced by intelligent automation.,E03. Class attendance should be compulsory for all courses.,-0.3021866881657299
T14. Social media algorithms contribute to opinion polarization.,E03. Class attendance should be compulsory for all courses.,-0.2789151667033795
E01. Project-based learning develops deeper understanding than examination-oriented learning.,E02. Traditional written examinations accurately measure a student's knowledge.,-0.3143728679489966
E03. Class attendance should be compulsory for all courses.,E04. High-quality online learning can effectively complement classroom teaching.,-0.2760274111193132
E03. Class attendance should be compulsory for all courses.,"E07. Publishing research before graduation should be encouraged, but not mandatory.",-0.2968412227959628
E03. Class attendance should be compulsory for all courses.,E10. Universities should prioritize innovation and problem-solving over rote learning.,-0.4403903433474599
E03. Class attendance should be compulsory for all courses.,E11. University curricula should be updated more frequently to match emerging technologies.,-0.27934612349895427
E03. Class attendance should be compulsory for all courses.,E12. Artificial intelligence should be integrated into teaching and personalized learning.,-0.2771540986400279
E03. Class attendance should be compulsory for all courses.,"S06. Combating online misinformation requires shared responsibility among users, platforms, and governments.",-0.2923336690921921
E03. Class attendance should be compulsory for all courses.,S09. Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,-0.2572351701865045
