method,community,size,domain,statement
louvain,0,16,Education,E08. Maintaining academic honesty is more important than obtaining high grades.
louvain,0,16,Ethics/Society,S01. Every individual has a responsibility to contribute positively to society.
louvain,0,16,Ethics/Society,S02. Universities should encourage students to participate in community service activities.
louvain,0,16,Ethics/Society,S03. New technologies should be evaluated for their societal impact before widespread deployment.
louvain,0,16,Ethics/Society,S05. Individuals should have greater control over how their personal data are collected and used.
louvain,0,16,Ethics/Society,S13. Critical evaluation of online information should be taught as a core educational skill.
louvain,0,16,Ethics/Society,S15. Building public trust is essential for responsible adoption of emerging technologies.
louvain,0,16,Technology,T10. Protection of personal data is more important than technological convenience.
louvain,0,16,Technology,T12. Governments should introduce stricter regulations for Artificial Intelligence.
louvain,0,16,Technology,T13. Cybersecurity deserves greater investment than the development of new digital technologies.
louvain,0,16,Technology,T14. Social media algorithms contribute to opinion polarization.
louvain,0,16,Environment,V02. Governments should prioritize investment in renewable energy over fossil fuels.
louvain,0,16,Environment,V03. Individuals should actively reduce their personal energy consumption.
louvain,0,16,Environment,V04. Public transportation and non-motorized transport should be promoted even if they require additional public investment.
louvain,0,16,Environment,V10. Consumers should consider environmental impact when purchasing products.
louvain,0,16,Environment,V12. Environmental sustainability should be integrated into higher education curricula.
louvain,1,14,Education,E04. High-quality online learning can effectively complement classroom teaching.
louvain,1,14,Education,E11. University curricula should be updated more frequently to match emerging technologies.
louvain,1,14,Ethics/Society,"S06. Combating online misinformation requires shared responsibility among users, platforms, and governments."
louvain,1,14,Ethics/Society,S10. Scientific evidence should play an important role in public policy decisions.
louvain,1,14,Ethics/Society,S12. Young people should actively participate in addressing societal challenges.
louvain,1,14,Technology,T03. Students should disclose the use of AI in assignments and reports.
louvain,1,14,Technology,T08. AI-assisted diagnosis should become routine in healthcare.
louvain,1,14,Technology,T09. Autonomous vehicles will ultimately make transportation safer.
louvain,1,14,Technology,T11. Technology companies should explain how recommendation algorithms work.
louvain,1,14,Environment,V05. Single-use plastics should be significantly restricted.
louvain,1,14,Environment,V07. Protecting biodiversity is essential for long-term human well-being.
louvain,1,14,Environment,V08. Universities should adopt environmentally sustainable campus practices even if implementation costs increase.
louvain,1,14,Environment,V11. Technological innovation is essential for addressing environmental challenges.
louvain,1,14,Environment,V15. Current generations have a responsibility to protect natural resources for future generations.
louvain,2,9,Education,E02. Traditional written examinations accurately measure a student's knowledge.
