node1,node2,weight
T01. Artificial Intelligence will improve society more than it will create problems.,T02. Generative AI tools should be allowed as learning aids in higher education.,0.331371205106782
T01. Artificial Intelligence will improve society more than it will create problems.,T05. Artificial Intelligence will significantly accelerate scientific discovery.,0.23909136422175264
T01. Artificial Intelligence will improve society more than it will create problems.,T07. Robots should replace humans in hazardous occupations whenever possible.,0.23820254184629616
T01. Artificial Intelligence will improve society more than it will create problems.,E02. Traditional written examinations accurately measure a student's knowledge.,0.14348470770317606
T01. Artificial Intelligence will improve society more than it will create problems.,E03. Class attendance should be compulsory for all courses.,0.11370119076078883
T02. Generative AI tools should be allowed as learning aids in higher education.,E12. Artificial intelligence should be integrated into teaching and personalized learning.,0.5312786652887106
T02. Generative AI tools should be allowed as learning aids in higher education.,E14. Strong collaborations between universities and industry improve student education.,0.29977559439630114
T03. Students should disclose the use of AI in assignments and reports.,E11. University curricula should be updated more frequently to match emerging technologies.,0.43524043109360905
T03. Students should disclose the use of AI in assignments and reports.,"V09. Products should be designed to encourage reuse, repair, and recycling.",0.3676160852157479
T03. Students should disclose the use of AI in assignments and reports.,V07. Protecting biodiversity is essential for long-term human well-being.,0.365368053207824
T04. Every engineering student should receive formal education in AI.,E10. Universities should prioritize innovation and problem-solving over rote learning.,0.40204466122910254
T04. Every engineering student should receive formal education in AI.,E14. Strong collaborations between universities and industry improve student education.,0.3627877751158231
T04. Every engineering student should receive formal education in AI.,S15. Building public trust is essential for responsible adoption of emerging technologies.,0.3426753442731122
T04. Every engineering student should receive formal education in AI.,T15. Society will increasingly depend on AI-assisted decision making.,0.2532208970587736
T05. Artificial Intelligence will significantly accelerate scientific discovery.,S11. People should be free to express differing opinions as long as they do not promote harm or discrimination.,0.35786969896829335
T05. Artificial Intelligence will significantly accelerate scientific discovery.,S07. Equal opportunities should be prioritized regardless of a person's background.,0.33916859424078993
T05. Artificial Intelligence will significantly accelerate scientific discovery.,T07. Robots should replace humans in hazardous occupations whenever possible.,0.28888810745243515
T06. Most repetitive jobs will eventually be replaced by intelligent automation.,E14. Strong collaborations between universities and industry improve student education.,0.4964498140708578
T06. Most repetitive jobs will eventually be replaced by intelligent automation.,E12. Artificial intelligence should be integrated into teaching and personalized learning.,0.45830657261980307
T06. Most repetitive jobs will eventually be replaced by intelligent automation.,E10. Universities should prioritize innovation and problem-solving over rote learning.,0.44021135857064336
T06. Most repetitive jobs will eventually be replaced by intelligent automation.,E06. Every undergraduate student should participate in at least one research project.,0.2515353991886415
T07. Robots should replace humans in hazardous occupations whenever possible.,V01. Climate change requires immediate global action.,0.4518972860228748
T07. Robots should replace humans in hazardous occupations whenever possible.,S07. Equal opportunities should be prioritized regardless of a person's background.,0.27226400289510877
T08. AI-assisted diagnosis should become routine in healthcare.,T09. Autonomous vehicles will ultimately make transportation safer.,0.2789391052888632
T08. AI-assisted diagnosis should become routine in healthcare.,V11. Technological innovation is essential for addressing environmental challenges.,0.25887361731442804
T08. AI-assisted diagnosis should become routine in healthcare.,T11. Technology companies should explain how recommendation algorithms work.,0.2508734587978048
T08. AI-assisted diagnosis should become routine in healthcare.,E02. Traditional written examinations accurately measure a student's knowledge.,0.2004941276348795
T09. Autonomous vehicles will ultimately make transportation safer.,V05. Single-use plastics should be significantly restricted.,0.25503325567842394
T09. Autonomous vehicles will ultimately make transportation safer.,S10. Scientific evidence should play an important role in public policy decisions.,0.2483573186756437
T10. Protection of personal data is more important than technological convenience.,S05. Individuals should have greater control over how their personal data are collected and used.,0.4638673879654644
T10. Protection of personal data is more important than technological convenience.,T12. Governments should introduce stricter regulations for Artificial Intelligence.,0.46293895929116596
T10. Protection of personal data is more important than technological convenience.,T11. Technology companies should explain how recommendation algorithms work.,0.3082618832778176
T11. Technology companies should explain how recommendation algorithms work.,S14. Leaders should prioritize ethical decision-making even when it reduces short-term gains.,0.43595301678913595
T11. Technology companies should explain how recommendation algorithms work.,V10. Consumers should consider environmental impact when purchasing products.,0.3688655578053852
T11. Technology companies should explain how recommendation algorithms work.,S10. Scientific evidence should play an important role in public policy decisions.,0.3674370583517983
T12. Governments should introduce stricter regulations for Artificial Intelligence.,T13. Cybersecurity deserves greater investment than the development of new digital technologies.,0.4884822126217584
T12. Governments should introduce stricter regulations for Artificial Intelligence.,S13. Critical evaluation of online information should be taught as a core educational skill.,0.41466642074343213
T12. Governments should introduce stricter regulations for Artificial Intelligence.,T14. Social media algorithms contribute to opinion polarization.,0.37976393052689605
T12. Governments should introduce stricter regulations for Artificial Intelligence.,S05. Individuals should have greater control over how their personal data are collected and used.,0.3893936739105406
T13. Cybersecurity deserves greater investment than the development of new digital technologies.,S13. Critical evaluation of online information should be taught as a core educational skill.,0.32089592557218344
T13. Cybersecurity deserves greater investment than the development of new digital technologies.,"V06. Water conservation should be a priority in households, institutions, and industries.",0.3181317232731255
